Id,Salary
72629919,25162.793685352917
72629930,25162.793685352917
72629937,25162.793685352917
72629938,25162.793685352917
72629944,25162.793685352917
72629946,25162.793685352917
72629948,25162.793685352917
72629949,25162.793685352917
72629954,25162.793685352917
72629956,25162.793685352917
72629957,25162.793685352917
72629959,25162.793685352917
72629960,25162.793685352917
72629964,25162.793685352917
72629975,25162.793685352917
72629978,25162.793685352917
72629982,25162.793685352917
72629993,25162.793685352917
72630000,25162.793685352917
72630007,25162.793685352917
72630009,25162.793685352917
72630010,25162.793685352917
72630011,25162.793685352917
72630049,25162.793685352917
72630052,25162.793685352917
72630055,25162.793685352917
72630057,25162.793685352917
72630060,25162.793685352917
72630061,25162.793685352917
72630063,25162.793685352917
72630066,25162.793685352917
72630071,23774.159204296204
72630078,23774.159204296204
72630085,23774.159204296204
72630087,23774.159204296204
72630098,23774.159204296204
72630099,23774.159204296204
72630109,23774.159204296204
72630116,23774.159204296204
72630123,23774.159204296204
72630124,23774.159204296204
72630131,23774.159204296204
72630133,23774.159204296204
72630135,23774.159204296204
72630142,23774.159204296204
72630149,23774.159204296204
72630161,23774.159204296204
72630353,23774.159204296204
72630356,23774.159204296204
72630360,23774.159204296204
72630363,23774.159204296204
72630365,23774.159204296204
72630370,23774.159204296204
72630374,23774.159204296204
72630379,23774.159204296204
72630385,23774.159204296204
72630387,23774.159204296204
72630391,23774.159204296204
72630392,23774.159204296204
72630401,23774.159204296204
72630404,23774.159204296204
72630406,23774.159204296204
72630412,23774.159204296204
72630416,23774.159204296204
72630426,23774.159204296204
72630427,23774.159204296204
72630444,23774.159204296204
72630456,23774.159204296204
72630472,25162.793685352917
72630475,23774.159204296204
72630477,23774.159204296204
72630479,23774.159204296204
72630480,23774.159204296204
72630489,23774.159204296204
72630490,23774.159204296204
72630491,23774.159204296204
72630493,23774.159204296204
72630517,23774.159204296204
72630520,23774.159204296204
72630522,23774.159204296204
72630523,23774.159204296204
72630530,23774.159204296204
72630534,23774.159204296204
72630536,23774.159204296204
72630539,23774.159204296204
72630559,23774.159204296204
72630564,23774.159204296204
72630566,23774.159204296204
72630570,23774.159204296204
72630580,23774.159204296204
72630587,23774.159204296204
72630589,23774.159204296204
72630595,23774.159204296204
72630600,23774.159204296204
72630602,23774.159204296204
72630610,23774.159204296204
72630612,23774.159204296204
72630622,23774.159204296204
72630627,23774.159204296204
72630629,23774.159204296204
72630649,23774.159204296204
72630651,23774.159204296204
72630653,23774.159204296204
72630654,23774.159204296204
72630660,23774.159204296204
72630663,23774.159204296204
72630665,23774.159204296204
72630679,23774.159204296204
72630680,23774.159204296204
72630681,23774.159204296204
72630685,23774.159204296204
